CdStationMesureEauxSurface;LbStationMesureEauxSurface;CdPointEauxSurf;CdSupport;LbSupport;CdMethode;NomLongMethodePrel;DateDebutOperationPrelBio;HeureDebutOperationPrelBio;DateFinOperationPrelbio;HeureFinOperationPrelBio;CdProducteur;NomProducteur;CdPreleveur;NomPreleveur;CdDeterminateur;NomDéterminateur;CodeSandreRdd;NomRdd;CdStatutResBioOperationPrelBio;MnemoStatutResBioOperationPrelBio;CdQualResBioOperationPrelBio;LbQualResBioOperationPrelBio;RefOperationPrelBio;ObjOperationPrelBio;LongProspecOperationPrelBio;LargeurMoyLameEauOperationPrelBio;HMoyLamOperationPrelBio;SurfTotProspecteeOperationPrelBio
05080890;La Garonne à Bourdelles;700;13;Macroinvertébrés aquatiques;471;Macroinvertébrés : Détermination de l'Indice Biologique Global Adapté (IBGA);2016-08-22;00:00:00;;;18310006400033;AGENCE DE L'EAU ADOUR GARONNE;41749411900056;AQUABIO;41749411900056;AQUABIO;0500000001;Réseau Complémentaire Agence Adour-Garonne;2;Donnée contrôlée niveau 1 (données contrôlées);1;Correcte;1637701;;;;;
05080890;La Garonne à Bourdelles;700;13;Macroinvertébrés aquatiques;726;Macroinvertébrés : Protocole expérimental d'échantillonnage en cours d'eau profond 2009 + Traitement au laboratoire selon XP T90-388 Juin 2010;2017-08-01;00:00:00;;;18310006400033;AGENCE DE L'EAU ADOUR GARONNE;41749411900056;AQUABIO;41749411900056;AQUABIO;0500000073;Contrôle de surveillance des cours d'eau du bassin Adour, Garonne, Dordogne, Charente et cours d'eau côtiers charentais et aquitains;2;Donnée contrôlée niveau 1 (données contrôlées);1;Correcte;1702427;;;;;
05080890;La Garonne à Bourdelles;700;13;Macroinvertébrés aquatiques;726;Macroinvertébrés : Protocole expérimental d'échantillonnage en cours d'eau profond 2009 + Traitement au laboratoire selon XP T90-388 Juin 2010;2018-07-31;00:00:00;;;18310006400033;AGENCE DE L'EAU ADOUR GARONNE;41749411900056;AQUABIO;41749411900056;AQUABIO;0500000001;Réseau Complémentaire Agence Adour-Garonne;2;Donnée contrôlée niveau 1 (données contrôlées);1;Correcte;1773033;;;;;
05080890;La Garonne à Bourdelles;700;13;Macroinvertébrés aquatiques;726;Macroinvertébrés : Protocole expérimental d'échantillonnage en cours d'eau profond 2009 + Traitement au laboratoire selon XP T90-388 Juin 2010;2019-07-24;00:00:00;;;18310006400033;AGENCE DE L'EAU ADOUR GARONNE;41749411900056;AQUABIO;41749411900056;AQUABIO;0500000001;Réseau Complémentaire Agence Adour-Garonne;2;Donnée contrôlée niveau 1 (données contrôlées);1;Correcte;1839593;;;;;
05080890;La Garonne à Bourdelles;800;10;Diatomées benthiques;1009;Qualité de l'eau - Échantillonnage, traitement et analyse de diatomées benthiques en cours d'eau et canaux (NF T90-354 Avril 2016);2016-08-22;00:00:00;;;18310006400033;AGENCE DE L'EAU ADOUR GARONNE;41749411900056;AQUABIO;41749411900056;AQUABIO;;;2;Donnée contrôlée niveau 1 (données contrôlées);1;Correcte;1600156;;;;;
05080890;La Garonne à Bourdelles;800;10;Diatomées benthiques;1009;Qualité de l'eau - Échantillonnage, traitement et analyse de diatomées benthiques en cours d'eau et canaux (NF T90-354 Avril 2016);2017-08-01;00:00:00;;;18310006400033;AGENCE DE L'EAU ADOUR GARONNE;41749411900056;AQUABIO;41749411900056;AQUABIO;0500000001;Réseau Complémentaire Agence Adour-Garonne;2;Donnée contrôlée niveau 1 (données contrôlées);1;Correcte;1703843;;;;;
05080890;La Garonne à Bourdelles;800;10;Diatomées benthiques;1009;Qualité de l'eau - Échantillonnage, traitement et analyse de diatomées benthiques en cours d'eau et canaux (NF T90-354 Avril 2016);2018-07-31;00:00:00;;;18310006400033;AGENCE DE L'EAU ADOUR GARONNE;41749411900056;AQUABIO;41749411900056;AQUABIO;0500000001;Réseau Complémentaire Agence Adour-Garonne;2;Donnée contrôlée niveau 1 (données contrôlées);1;Correcte;1777897;;;;;
05080890;La Garonne à Bourdelles;800;10;Diatomées benthiques;1009;Qualité de l'eau - Échantillonnage, traitement et analyse de diatomées benthiques en cours d'eau et canaux (NF T90-354 Avril 2016);2019-09-13;00:00:00;;;18310006400033;AGENCE DE L'EAU ADOUR GARONNE;32939196500038;GROUPE DE RECHERCHE ET D'ETUDE BIOLOGIE ET ENVIRONNEMENT (SAS GREBE);32939196500038;GROUPE DE RECHERCHE ET D'ETUDE BIOLOGIE ET ENVIRONNEMENT (SAS GREBE);0500000001;Réseau Complémentaire Agence Adour-Garonne;2;Donnée contrôlée niveau 1 (données contrôlées);1;Correcte;1841307;;;;;
05080890;La Garonne à Bourdelles;900;27;Macrophytes;0;Méthode inconnue;2016-10-01;00:00:00;;;18310006400033;AGENCE DE L'EAU ADOUR GARONNE;43517085700062;MOREAU ALINE;43517085700062;MOREAU ALINE;0500000001;Réseau Complémentaire Agence Adour-Garonne;2;Donnée contrôlée niveau 1 (données contrôlées);1;Correcte;1635934;;;;;
05080890;La Garonne à Bourdelles;900;27;Macrophytes;0;Méthode inconnue;2019-10-10;00:00:00;;;18310006400033;AGENCE DE L'EAU ADOUR GARONNE;41749411900056;AQUABIO;41749411900056;AQUABIO;0500000001;Réseau Complémentaire Agence Adour-Garonne;2;Donnée contrôlée niveau 1 (données contrôlées);1;Correcte;1842273;;;;;
